SEASON_ID,YEAR,SEASON_TYPE,GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,HOME_TEAM_NAME,HOME_PTS,HOME_WL,AWAY_TEAM_ID,AWAY_TEAM_ABBREVIATION,AWAY_TEAM_NAME,AWAY_PTS,AWAY_WL,WINNER_TEAM_ID,WINNER_TEAM_ABBREVIATION,WINNER_TEAM_NAME,LOSER_TEAM_ID,LOSER_TEAM_ABBREVIATION,LOSER_TEAM_NAME,HOME_DEFUNCT,AWAY_DEFUNCT
21946,1946,Regular Season,0024600001,1/11/1946,1610610035,TOR,Toronto Raptors,66,L,1610612752,NYK,New York Knicks,68,W,1610612752,NYK,New York Knicks,1610610035,TOR,Toronto Raptors,FALSE,FALSE
21946,1946,Regular Season,0024600005,2/11/1946,1610610028,DEF,Detroit Falcons (1946-1947),33,L,1610610036,WAS,Washington Wizards,50,W,1610610036,WAS,Washington Wizards,1610610028,DEF,Detroit Falcons (1946-1947),TRUE,FALSE
21946,1946,Regular Season,0024600004,2/11/1946,1610610025,CHS,Chicago Stags (1946-1950),63,W,1610612752,NYK,New York Knicks,47,L,1610610025,CHS,Chicago Stags (1946-1950),1610612752,NYK,New York Knicks,TRUE,FALSE
21946,1946,Regular Season,0024600002,2/11/1946,1610610032,PRO,Providence Steamrollers (1946-1949),59,W,1610612738,BOS,Boston Celtics,53,L,1610610032,PRO,Providence Steamrollers (1946-1949),1610612738,BOS,Boston Celtics,TRUE,FALSE
21946,1946,Regular Season,0024600003,2/11/1946,1610610034,BOM,Old Denver Nuggets (1949-1950),56,W,1610610031,PIT,Pittsburgh Ironmen (1946-1947),51,L,1610610034,BOM,Old Denver Nuggets (1949-1950),1610610031,PIT,Pittsburgh Ironmen (1946-1947),TRUE,TRUE
21946,1946,Regular Season,0024600006,3/11/1946,1610610026,CLE,Cleveland Cavaliers,71,W,1610610035,TOR,Toronto Raptors,60,L,1610610026,CLE,Cleveland Cavaliers,1610610035,TOR,Toronto Raptors,FALSE,FALSE
21946,1946,Regular Season,0024600007,4/11/1946,1610610031,PIT,Pittsburgh Ironmen (1946-1947),56,L,1610610036,WAS,Washington Wizards,71,W,1610610036,WAS,Washington Wizards,1610610031,PIT,Pittsburgh Ironmen (1946-1947),TRUE,FALSE
21946,1946,Regular Season,0024600008,5/11/1946,1610612738,BOS,Boston Celtics,55,L,1610610025,CHS,Chicago Stags (1946-1950),57,W,1610610025,CHS,Chicago Stags (1946-1950),1610612738,BOS,Boston Celtics,FALSE,TRUE
21946,1946,Regular Season,0024600009,5/11/1946,1610610028,DEF,Detroit Falcons (1946-1947),49,L,1610610034,BOM,Old Denver Nuggets (1949-1950),53,W,1610610034,BOM,Old Denver Nuggets (1949-1950),1610610028,DEF,Detroit Falcons (1946-1947),TRUE,TRUE
21946,1946,Regular Season,0024600011,7/11/1946,1610610032,PRO,Providence Steamrollers (1946-1949),73,W,1610610025,CHS,Chicago Stags (1946-1950),65,L,1610610032,PRO,Providence Steamrollers (1946-1949),1610610025,CHS,Chicago Stags (1946-1950),TRUE,TRUE
21946,1946,Regular Season,0024600012,7/11/1946,1610610034,BOM,Old Denver Nuggets (1949-1950),63,L,1610612752,NYK,New York Knicks,68,W,1610612752,NYK,New York Knicks,1610610034,BOM,Old Denver Nuggets (1949-1950),TRUE,FALSE
21946,1946,Regular Season,0024600010,7/11/1946,1610612744,GSW,Golden State Warriors,81,W,1610610031,PIT,Pittsburgh Ironmen (1946-1947),75,L,1610612744,GSW,Golden State Warriors,1610610031,PIT,Pittsburgh Ironmen (1946-1947),FALSE,TRUE
21946,1946,Regular Season,0024600013,8/11/1946,1610610035,TOR,Toronto Raptors,73,W,1610610028,DEF,Detroit Falcons (1946-1947),71,L,1610610035,TOR,Toronto Raptors,1610610028,DEF,Detroit Falcons (1946-1947),FALSE,TRUE
21946,1946,Regular Season,0024600017,9/11/1946,1610610028,DEF,Detroit Falcons (1946-1947),69,W,1610612738,BOS,Boston Celtics,46,L,1610610028,DEF,Detroit Falcons (1946-1947),1610612738,BOS,Boston Celtics,TRUE,FALSE
21946,1946,Regular Season,0024600015,9/11/1946,1610610032,PRO,Providence Steamrollers (1946-1949),76,W,1610610031,PIT,Pittsburgh Ironmen (1946-1947),66,L,1610610032,PRO,Providence Steamrollers (1946-1949),1610610031,PIT,Pittsburgh Ironmen (1946-1947),TRUE,TRUE
21946,1946,Regular Season,0024600014,9/11/1946,1610610034,BOM,Old Denver Nuggets (1949-1950),70,W,1610610036,WAS,Washington Wizards,69,L,1610610034,BOM,Old Denver Nuggets (1949-1950),1610610036,WAS,Washington Wizards,TRUE,FALSE
21946,1946,Regular Season,0024600016,9/11/1946,1610610025,CHS,Chicago Stags (1946-1950),64,W,1610610035,TOR,Toronto Raptors,54,L,1610610025,CHS,Chicago Stags (1946-1950),1610610035,TOR,Toronto Raptors,TRUE,FALSE
21946,1946,Regular Season,0024600018,10/11/1946,1610610026,CLE,Cleveland Cavaliers,92,W,1610610036,WAS,Washington Wizards,68,L,1610610026,CLE,Cleveland Cavaliers,1610610036,WAS,Washington Wizards,FALSE,FALSE
21946,1946,Regular Season,0024600020,11/11/1946,1610612752,NYK,New York Knicks,68,L,1610610025,CHS,Chicago Stags (1946-1950),78,W,1610610025,CHS,Chicago Stags (1946-1950),1610612752,NYK,New York Knicks,FALSE,TRUE
21946,1946,Regular Season,0024600019,11/11/1946,1610610031,PIT,Pittsburgh Ironmen (1946-1947),84,W,1610610032,PRO,Providence Steamrollers (1946-1949),71,L,1610610031,PIT,Pittsburgh Ironmen (1946-1947),1610610032,PRO,Providence Steamrollers (1946-1949),TRUE,TRUE
21946,1946,Regular Season,0024600021,13/11/1946,1610610028,DEF,Detroit Falcons (1946-1947),68,L,1610610032,PRO,Providence Steamrollers (1946-1949),70,W,1610610032,PRO,Providence Steamrollers (1946-1949),1610610028,DEF,Detroit Falcons (1946-1947),TRUE,TRUE
21946,1946,Regular Season,0024600022,13/11/1946,1610610025,CHS,Chicago Stags (1946-1950),71,W,1610612738,BOS,Boston Celtics,61,L,1610610025,CHS,Chicago Stags (1946-1950),1610612738,BOS,Boston Celtics,TRUE,FALSE
21946,1946,Regular Season,0024600024,14/11/1946,1610610034,BOM,Old Denver Nuggets (1949-1950),64,W,1610612738,BOS,Boston Celtics,62,L,1610610034,BOM,Old Denver Nuggets (1949-1950),1610612738,BOS,Boston Celtics,TRUE,FALSE
21946,1946,Regular Season,0024600023,14/11/1946,1610612744,GSW,Golden State Warriors,68,W,1610610036,WAS,Washington Wizards,65,L,1610612744,GSW,Golden State Warriors,1610610036,WAS,Washington Wizards,FALSE,FALSE
21946,1946,Regular Season,0024600025,15/11/1946,1610610035,TOR,Toronto Raptors,85,W,1610610032,PRO,Providence Steamrollers (1946-1949),68,L,1610610035,TOR,Toronto Raptors,1610610032,PRO,Providence Steamrollers (1946-1949),FALSE,TRUE
