TEAM_ID,TEAM_NAME,FIRST_SEASON,LAST_SEASON,TEAM_ABBR,TEAM_FULL_NAME
1610610023,Anderson Packers,1949/50,1949/50,AND,Anderson Packers (49/50)
1610610024,Baltimore Bullets,1947/48,1953/54,BAL,Baltimore Bullets (47/48-53/54)
1610610025,Chicago Stags,1946/47,1949/50,CHS,Chicago Stags (46/47-49/50)
1610610026,Cleveland Cavaliers,1946/47,1946/47,CLR,Cleveland Cavaliers (46/47)
1610610027,Denver Nuggets,1949/50,1949/50,DN,Denver Nuggets (49/50)
1610610028,Detroit Falcons,1946/47,1946/47,DEF,Detroit Falcons (46/47)
1610610029,Indianapolis Jets,1948/49,1948/49,JET,Indianapolis Jets (48/49)
1610610030,Indianapolis Olympians,1949/50,1952/53,INO,Indianapolis Olympians (49/50-52/53)
1610610031,Pitssburgh Ironmen,1946/47,1946/47,PIT,Pitssburgh Ironmen (46/47)
1610610032,Providence Steamrollers,1946/47,1948/49,PRO,Providence Steamrollers (46/47-48/49)
1610610033,Sheboygan Red Skins,1949/50,1949/50,SHE,Sheboygan Red Skins (49/50)
1610610034,St. Louis Bombers,1946/47,1949/50,BOM,St. Louis Bombers (46/47-49/50)
1610610035,Toronto Huskies,1946/47,1946/47,HUS,Toronto Huskies (46/47)
1610610036,Washington Capitols,1946/47,1950/51,WAS,Washington Capitols (46/47-50/51)
1610610037,Waterloo Hawks,1949/50,1949/50,WAT,Waterloo Hawks (49/50)
1610612737,Atlanta Hawks,1949/50,2024/25,ATL,Atlanta Hawks (49/50-24/25)
1610612738,Boston Celtics,1946/47,2024/25,BOS,Boston Celtics (46/47-24/25)
1610612739,Cleveland Cavaliers,1970/71,2024/25,CLE,Cleveland Cavaliers (70/71-24/25)
1610612740,New Orleans Pelicans,2002/03,2024/25,NOP,New Orleans Pelicans (02/03-24/25)
1610612741,Chicago Bulls,1996/97,2024/25,CHI,Chicago Bulls (96/97-24/25)
1610612742,Dallas Mavericks,1980/81,2024/25,DAL,Dallas Mavericks (80/81-24/25)
1610612743,Denver Nuggets,1976/77,2024/25,DEN,Denver Nuggets (76/77-24/25)
1610612744,Golden State Warriors,1946/47,2024/25,GSW,Golden State Warriors (46/47-24/25)
1610612745,Houston Rockets,1967/68,2024/25,HOU,Houston Rockets (67/68-24/25)
1610612746,LA Clippers,1970/71,2024/25,LAC,LA Clippers (70/71-24/25)
1610612747,Los Angeles Lakers,1948/49,2024/25,LAL,Los Angeles Lakers (48/49-24/25)
1610612748,Miami Heat,1988/89,2024/25,MIA,Miami Heat (88/89-24/25)
1610612749,Milwaukee Bucks,1968/69,2024/25,MIL,Milwaukee Bucks (68/69-24/25)
1610612750,Minnesota Timberwolves,1989/90,2024/25,MIN,Minnesota Timberwolves (89/90-24/25)
1610612751,Brooklyn Nets,1976/77,2024/25,BKN,Brooklyn Nets (76/77-24/25)
1610612752,New York Knicks,1946/47,2024/25,NYK,New York Knicks (46/47-24/25)
1610612753,Orlando Magic,1989/90,2024/25,ORL,Orlando Magic (89/90-24/25)
1610612754,Indiana Pacers,1976/77,2024/25,IND,Indiana Pacers (76/77-24/25)
1610612755,Philadelphia 76ers,1949/50,2024/25,PHI,Philadelphia 76ers (49/50-24/25)
1610612756,Phoenix Suns,1968/69,2024/25,PHX,Phoenix Suns (68/69-24/25)
1610612757,Portland Trail Blazers,1970/71,2024/25,POR,Portland Trail Blazers (70/71-24/25)
1610612758,Sacramento Kings,1948/49,2024/25,SAC,Sacramento Kings (48/49-24/25)
1610612759,San Antonio Spurs,1976/77,2024/25,SAS,San Antonio Spurs (76/77-24/25)
1610612760,Oklahoma City Thunder,1967/68,2024/25,OKC,Oklahoma City Thunder (67/68-24/25)
1610612761,Toronto Raptors,1995/96,2024/25,TOR,Toronto Raptors (95/96-24/25)
1610612762,Utah Jazz,1974/75,2024/25,UTA,Utah Jazz (74/75-24/25)
1610612763,Memphis Grizzlies,1995/96,2024/25,MEM,Memphis Grizzlies (95/96-24/25)
1610612764,Washington Wizards,1961/62,2024/25,WAS,Washington Wizards (61/62-24/25)
1610612765,Detroit Pistons,1948/49,2024/25,DET,Detroit Pistons (48/49-24/25)
1610612766,Charlotte Hornets,1988/89,2024/25,CHA,Charlotte Hornets (88/89-24/25)
