DATE,SEASON,TEAM_FULL_NAME,RATING
1946-11-01,1946/47,New York Knicks (46/47-24/25),1516.0
1946-11-01,1946/47,Toronto Huskies (46/47),1484.0
1946-11-02,1946/47,Washington Capitols (46/47-50/51),1516.0
1946-11-02,1946/47,Detroit Falcons (46/47),1484.0
1946-11-02,1946/47,Chicago Stags (46/47-49/50),1516.736306793522
1946-11-02,1946/47,New York Knicks (46/47-24/25),1499.263693206478
1946-11-02,1946/47,Providence Steamrollers (46/47-48/49),1516.0
1946-11-02,1946/47,Boston Celtics (46/47-24/25),1484.0
1946-11-02,1946/47,St. Louis Bombers (46/47-49/50),1516.0
1946-11-02,1946/47,Pitssburgh Ironmen (46/47),1484.0
1946-11-03,1946/47,Toronto Huskies (46/47),1468.736306793522
1946-11-03,1946/47,Cleveland Cavaliers (46/47),1515.263693206478
1946-11-04,1946/47,Washington Capitols (46/47-50/51),1530.5304984710244
1946-11-04,1946/47,Pitssburgh Ironmen (46/47),1469.4695015289756
1946-11-05,1946/47,Chicago Stags (46/47-49/50),1531.233189702316
1946-11-05,1946/47,Boston Celtics (46/47-24/25),1469.5031170912061
1946-11-05,1946/47,St. Louis Bombers (46/47-49/50),1530.5304984710244
1946-11-05,1946/47,Detroit Falcons (46/47),1469.4695015289756
1946-11-07,1946/47,Pitssburgh Ironmen (46/47),1454.8718751773815
1946-11-07,1946/47,Golden State Warriors (46/47-24/25),1514.597626351594
1946-11-07,1946/47,St. Louis Bombers (46/47-49/50),1513.0944834315035
1946-11-07,1946/47,Providence Steamrollers (46/47-48/49),1532.701065136588
1946-11-07,1946/47,Chicago Stags (46/47-49/50),1514.5321245657278
1946-11-07,1946/47,New York Knicks (46/47-24/25),1516.6997082459989
1946-11-08,1946/47,Toronto Huskies (46/47),1484.7700716087618
1946-11-08,1946/47,Detroit Falcons (46/47),1453.4357367137359
1946-11-09,1946/47,St. Louis Bombers (46/47-49/50),1529.8967681866582
1946-11-09,1946/47,Washington Capitols (46/47-50/51),1513.7282137158697
1946-11-09,1946/47,Chicago Stags (46/47-49/50),1529.1648740320281
1946-11-09,1946/47,Toronto Huskies (46/47),1470.1373221424615
1946-11-09,1946/47,Detroit Falcons (46/47),1470.1751398892561
1946-11-09,1946/47,Boston Celtics (46/47-24/25),1452.763713915686
1946-11-09,1946/47,Providence Steamrollers (46/47-48/49),1545.1756710247532
1946-11-09,1946/47,Pitssburgh Ironmen (46/47),1442.3972692892164
1946-11-10,1946/47,Cleveland Cavaliers (46/47),1531.1929822231318
1946-11-10,1946/47,Washington Capitols (46/47-50/51),1497.7989246992158
1946-11-11,1946/47,Providence Steamrollers (46/47-48/49),1524.5759475584243
1946-11-11,1946/47,Pitssburgh Ironmen (46/47),1462.9969927555453
1946-11-11,1946/47,Chicago Stags (46/47-49/50),1544.59107811004
1946-11-11,1946/47,New York Knicks (46/47-24/25),1501.273504167987
1946-11-13,1946/47,Providence Steamrollers (46/47-48/49),1538.0909724682679
1946-11-13,1946/47,Detroit Falcons (46/47),1456.6601149794126
1946-11-13,1946/47,Chicago Stags (46/47-49/50),1556.4580633370829
1946-11-13,1946/47,Boston Celtics (46/47-24/25),1440.896728688643
1946-11-14,1946/47,Golden State Warriors (46/47-24/25),1529.8246198295567
1946-11-14,1946/47,Washington Capitols (46/47-50/51),1482.5719312212532
1946-11-14,1946/47,St. Louis Bombers (46/47-49/50),1541.8855218961908
1946-11-14,1946/47,Boston Celtics (46/47-24/25),1428.9079749791103
1946-11-15,1946/47,Toronto Huskies (46/47),1489.2274008741983
1946-11-15,1946/47,Providence Steamrollers (46/47-48/49),1519.000893736531
1946-11-16,1946/47,Toronto Huskies (46/47),1470.4771654241822
1946-11-16,1946/47,Chicago Stags (46/47-49/50),1537.1058637587307
1946-11-16,1946/47,Washington Capitols (46/47-50/51),1501.9241307996053
1946-11-16,1946/47,Cleveland Cavaliers (46/47),1515.685236471233
1946-11-16,1946/47,St. Louis Bombers (46/47-49/50),1557.3932676480895
