DATE,SEASON,TEAM_FULL_NAME,RATING
1947-03-26,1946/47,Pitssburgh Ironmen (46/47),1289.8282824813316
1947-03-29,1946/47,Providence Steamrollers (46/47-48/49),1499.524334843704
1947-03-29,1946/47,Detroit Falcons (46/47),1364.4671248958116
1947-03-29,1946/47,Toronto Huskies (46/47),1391.8378726925334
1947-03-30,1946/47,Boston Celtics (46/47-24/25),1448.8747250618644
1947-04-06,1946/47,St. Louis Bombers (46/47-49/50),1535.859865722879
1947-04-09,1946/47,Cleveland Cavaliers (46/47),1500.4130167821982
1947-04-13,1946/47,Washington Capitols (46/47-50/51),1684.6587133800515
1947-04-14,1946/47,New York Knicks (46/47-24/25),1526.7433902661
1947-04-22,1946/47,Golden State Warriors (46/47-24/25),1661.3856132176356
1947-04-22,1946/47,Chicago Stags (46/47-49/50),1596.40706065589
1948-03-20,1947/48,Providence Steamrollers (46/47-48/49),1302.7690291261436
1948-03-23,1947/48,Washington Capitols (46/47-50/51),1615.158129303646
1948-04-01,1947/48,New York Knicks (46/47-24/25),1549.922381333193
1948-04-02,1947/48,Boston Celtics (46/47-24/25),1490.8615363705803
1948-04-06,1947/48,St. Louis Bombers (46/47-49/50),1610.8414884640297
1948-04-08,1947/48,Chicago Stags (46/47-49/50),1588.4264009743788
1948-04-21,1947/48,Golden State Warriors (46/47-24/25),1622.8564455241246
1948-04-21,1947/48,Baltimore Bullets (47/48-53/54),1672.618292052029
1949-03-15,1948/49,Indianapolis Jets (48/49),1406.8424668421394
1949-03-17,1948/49,Providence Steamrollers (46/47-48/49),1304.7861687938891
1949-03-18,1948/49,Boston Celtics (46/47-24/25),1522.3761415193687
1949-03-20,1948/49,Detroit Pistons (48/49-24/25),1456.1396802128556
1949-03-23,1948/49,St. Louis Bombers (46/47-49/50),1535.6420940071075
1949-03-24,1948/49,Golden State Warriors (46/47-24/25),1518.119166303322
1949-03-24,1948/49,Chicago Stags (46/47-49/50),1586.253059532798
1949-03-26,1948/49,Baltimore Bullets (47/48-53/54),1519.3940919918737
1949-03-29,1948/49,Sacramento Kings (48/49-24/25),1699.6773691264953
