SEASON_YEAR,TEAM_ID,team_name,games_played,wins,losses,win_rate,avg_points,avg_opp_points,avg_point_diff,avg_FG_pct,avg_3pt_pct,avg_FT_pct,avg_reb,avg_oreb,avg_dreb,avg_assists,avg_turnovers,avg_steals,avg_blocks,avg_fouls,avg_points_rolling
2010-11,1610612737,Atlanta Hawks,94,50,44,0.5319148936170213,93.88297872340425,95.15957446808511,-1.2765957446808511,0.4596489361702128,0.3529148936170213,0.7684148936170212,39.02127659574468,9.25531914893617,29.76595744680851,21.47872340425532,13.47872340425532,6.085106382978723,4.26595744680851,19.127659574468087,93.81333333333335
2010-11,1610612738,Boston Celtics,91,61,30,0.6703296703296703,96.31868131868131,91.35164835164835,4.967032967032967,0.4847912087912088,0.3706263736263736,0.7686043956043955,38.81318681318681,7.9010989010989015,30.912087912087912,23.186813186813186,14.68131868131868,8.153846153846153,4.197802197802198,20.604395604395606,96.52873563218391
2010-11,1610612739,Cleveland Cavaliers,82,19,63,0.23170731707317074,95.45121951219512,104.46341463414635,-9.012195121951219,0.4352926829268293,0.3413414634146341,0.743219512195122,40.30487804878049,10.439024390243903,29.865853658536587,20.975609756097562,14.21951219512195,6.634146341463414,4.158536585365853,20.097560975609756,95.38974358974359
2010-11,1610612740,New Orleans Hornets,88,48,40,0.5454545454545454,94.54545454545455,94.20454545454545,0.3409090909090909,0.4592613636363636,0.3588636363636364,0.7656363636363637,39.69318181818182,9.886363636363637,29.806818181818183,20.59090909090909,13.022727272727273,7.579545454545454,4.284090909090909,21.147727272727273,94.64285714285714
2010-11,1610612741,Chicago Bulls,98,71,27,0.7244897959183674,97.62244897959184,90.8061224489796,6.816326530612245,0.45661224489795915,0.35452040816326535,0.7493061224489797,44.06122448979592,12.051020408163266,32.01020408163265,21.928571428571427,14.071428571428571,7.23469387755102,5.857142857142857,20.193877551020407,97.82127659574469
2010-11,1610612742,Dallas Mavericks,103,73,30,0.7087378640776699,99.83495145631068,95.29126213592232,4.543689320388349,0.472368932038835,0.3692233009708738,0.7814466019417476,40.81553398058252,9.54368932038835,31.271844660194176,23.07766990291262,13.74757281553398,6.854368932038835,4.252427184466019,19.388349514563107,99.85252525252525
2010-11,1610612743,Denver Nuggets,87,51,36,0.5862068965517241,106.8735632183908,102.66666666666667,4.206896551724138,0.4725057471264367,0.379448275862069,0.762896551724138,41.758620689655174,9.517241379310345,32.241379310344826,21.850574712643677,14.0,7.333333333333333,4.252873563218391,21.126436781609197,107.16385542168675
2010-11,1610612744,Golden State Warriors,82,36,46,0.43902439024390244,103.3780487804878,105.70731707317073,-2.3292682926829267,0.4620609756097561,0.3842926829268293,0.754890243902439,40.548780487804876,11.646341463414634,28.902439024390244,22.524390243902438,14.609756097560975,8.987804878048781,4.951219512195122,22.024390243902438,103.01282051282051
2010-11,1610612745,Houston Rockets,82,43,39,0.524390243902439,105.91463414634147,103.73170731707317,2.182926829268293,0.4555853658536585,0.3663170731707317,0.8022682926829269,42.81707317073171,11.731707317073171,31.085365853658537,23.841463414634145,13.536585365853659,7.085365853658536,4.524390243902439,20.01219512195122,105.81025641025641
2010-11,1610612746,Los Angeles Clippers,82,32,50,0.3902439024390244,98.64634146341463,101.78048780487805,-3.1341463414634148,0.45782926829268294,0.3374268292682927,0.7053536585365854,42.146341463414636,11.646341463414634,30.5,22.109756097560975,16.378048780487806,7.134146341463414,4.902439024390244,21.134146341463413,98.95384615384614
2010-11,1610612747,Los Angeles Lakers,92,61,31,0.6630434782608695,100.57608695652173,95.27173913043478,5.304347826086956,0.4618913043478261,0.34632608695652173,0.7737608695652173,43.630434782608695,12.119565217391305,31.51086956521739,21.630434782608695,13.021739130434783,7.293478260869565,5.141304347826087,19.141304347826086,100.59318181818183
2010-11,1610612748,Miami Heat,103,72,31,0.6990291262135923,100.16504854368932,93.67961165048544,6.485436893203883,0.47409708737864076,0.35908737864077667,0.7703106796116505,41.922330097087375,9.737864077669903,32.18446601941748,19.271844660194176,13.912621359223301,6.766990291262136,5.407766990291262,20.174757281553397,100.48080808080809
2010-11,1610612749,Milwaukee Bucks,82,35,47,0.4268292682926829,91.8780487804878,92.71951219512195,-0.8414634146341463,0.43093902439024395,0.341780487804878,0.7580121951219512,40.75609756097561,10.512195121951219,30.24390243902439,18.841463414634145,13.451219512195122,7.524390243902439,4.865853658536586,20.51219512195122,91.65128205128205
2010-11,1610612750,Minnesota Timberwolves,82,17,65,0.2073170731707317,101.07317073170732,107.70731707317073,-6.634146341463414,0.44120731707317074,0.37491463414634146,0.7709634146341463,44.40243902439025,13.231707317073171,31.170731707317074,20.121951219512194,17.048780487804876,7.219512195121951,5.146341463414634,22.25609756097561,100.80512820512821
2010-11,1610612751,New Jersey Nets,82,24,58,0.2926829268292683,94.17073170731707,100.41463414634147,-6.2439024390243905,0.4416463414634147,0.3447195121951219,0.7630975609756098,40.84146341463415,11.085365853658537,29.75609756097561,21.01219512195122,14.048780487804878,5.585365853658536,4.682926829268292,22.036585365853657,94.08974358974359
2010-11,1610612752,New York Knicks,86,42,44,0.4883720930232558,105.77906976744185,105.43023255813954,0.3488372093023256,0.45530232558139533,0.36496511627906975,0.8053023255813954,40.45348837209303,10.523255813953488,29.930232558139537,21.209302325581394,13.767441860465116,7.569767441860465,5.837209302325581,21.13953488372093,106.2560975609756
2010-11,1610612753,Orlando Magic,88,54,34,0.6136363636363636,98.48863636363636,93.27272727272727,5.215909090909091,0.45782954545454546,0.35427272727272724,0.7019431818181818,43.14772727272727,10.625,32.52272727272727,19.579545454545453,14.784090909090908,6.670454545454546,4.636363636363637,20.102272727272727,98.6547619047619
2010-11,1610612754,Indiana Pacers,87,38,49,0.4367816091954023,99.24137931034483,100.67816091954023,-1.4367816091954022,0.44209195402298856,0.34997701149425287,0.7783563218390804,43.252873563218394,11.25287356321839,32.0,19.436781609195403,15.379310344827585,7.183908045977011,5.563218390804598,21.804597701149426,99.44096385542169
2010-11,1610612755,Philadelphia 76ers,87,42,45,0.4827586206896552,98.29885057471265,97.3103448275862,0.9885057471264368,0.45980459770114945,0.3532068965517241,0.7704942528735632,41.735632183908045,10.379310344827585,31.35632183908046,22.563218390804597,12.827586206896552,7.505747126436781,4.287356321839081,19.471264367816094,98.64819277108434
2010-11,1610612756,Phoenix Suns,82,40,42,0.4878048780487805,105.01219512195122,105.90243902439025,-0.8902439024390244,0.47131707317073174,0.3692682926829268,0.7637195121951219,40.23170731707317,10.012195121951219,30.21951219512195,23.71951219512195,14.25609756097561,6.646341463414634,4.353658536585366,20.317073170731707,104.94615384615385
2010-11,1610612757,Portland Trail Blazers,88,50,38,0.5681818181818182,95.73863636363636,94.67045454545455,1.0681818181818181,0.4495454545454546,0.3436818181818182,0.7965113636363637,39.22727272727273,11.943181818181818,27.28409090909091,20.886363636363637,12.943181818181818,7.886363636363637,4.420454545454546,19.431818181818183,95.74761904761905
2010-11,1610612758,Sacramento Kings,82,24,58,0.2926829268292683,99.40243902439025,104.7439024390244,-5.341463414634147,0.4498780487804878,0.3352317073170732,0.7286219512195122,43.86585365853659,13.060975609756097,30.804878048780488,20.426829268292682,16.146341463414632,7.414634146341464,4.7682926829268295,22.01219512195122,98.94871794871794
2010-11,1610612759,San Antonio Spurs,88,63,25,0.7159090909090909,103.04545454545455,97.94318181818181,5.1022727272727275,0.4738181818181818,0.38870454545454547,0.7617045454545455,41.84090909090909,10.113636363636363,31.727272727272727,22.079545454545453,13.488636363636363,7.340909090909091,4.625,19.147727272727273,103.14761904761905
2010-11,1610612760,Oklahoma City Thunder,99,64,35,0.6464646464646465,104.42424242424242,100.95959595959596,3.4646464646464645,0.46245454545454545,0.3445151515151515,0.8208787878787879,43.313131313131315,11.363636363636363,31.949494949494948,19.91919191919192,14.323232323232324,7.777777777777778,6.222222222222222,22.838383838383837,104.5936842105263
2010-11,1610612761,Toronto Raptors,82,22,60,0.2682926829268293,99.07317073170732,105.35365853658537,-6.280487804878049,0.46708536585365856,0.30841463414634146,0.7534878048780488,40.31707317073171,11.74390243902439,28.573170731707318,21.890243902439025,14.707317073170731,7.085365853658536,4.2682926829268295,22.036585365853657,99.37435897435897
2010-11,1610612762,Utah Jazz,82,39,43,0.47560975609756095,99.42682926829268,101.2560975609756,-1.829268292682927,0.46553658536585363,0.33420731707317075,0.7708658536585365,39.46341463414634,10.951219512195122,28.51219512195122,23.426829268292682,14.329268292682928,7.670731707317073,5.902439024390244,22.74390243902439,99.42820512820512
2010-11,1610612763,Memphis Grizzlies,95,53,42,0.5578947368421052,99.7578947368421,97.83157894736843,1.9263157894736842,0.4673263157894737,0.32793684210526314,0.7505473684210527,41.27368421052632,11.91578947368421,29.357894736842105,20.378947368421052,13.842105263157896,9.210526315789474,5.463157894736842,21.178947368421053,99.91428571428573
2010-11,1610612764,Washington Wizards,82,23,59,0.2804878048780488,97.28048780487805,104.6829268292683,-7.402439024390244,0.4429024390243902,0.3264146341463415,0.7414146341463415,41.30487804878049,12.353658536585366,28.951219512195124,19.414634146341463,15.341463414634147,8.109756097560975,6.121951219512195,22.5609756097561,97.35897435897436
2010-11,1610612765,Detroit Pistons,82,30,52,0.36585365853658536,96.96341463414635,100.5609756097561,-3.597560975609756,0.4603658536585366,0.3700731707317073,0.7409268292682927,38.6219512195122,11.353658536585366,27.26829268292683,21.097560975609756,13.012195121951219,7.2560975609756095,4.0,19.865853658536587,96.74358974358974
