GAME_DATE,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,SEASON_TYPE
2020-08-15,1610612757,1610612763,Playoffs
2021-05-18,1610612738,1610612764,Playoffs
2021-05-18,1610612754,1610612766,Playoffs
2021-05-19,1610612747,1610612744,Playoffs
2021-05-19,1610612763,1610612759,Playoffs
2021-05-20,1610612764,1610612754,Playoffs
2021-05-21,1610612744,1610612763,Playoffs
2022-04-12,1610612750,1610612746,Playoffs
2022-04-12,1610612751,1610612739,Playoffs
2022-04-13,1610612737,1610612766,Playoffs
2022-04-13,1610612740,1610612759,Playoffs
2022-04-15,1610612739,1610612737,Playoffs
2022-04-15,1610612746,1610612740,Playoffs
2023-04-11,1610612747,1610612750,Playoffs
2023-04-11,1610612748,1610612737,Playoffs
2023-04-12,1610612740,1610612760,Playoffs
2023-04-12,1610612761,1610612741,Playoffs
2023-04-14,1610612748,1610612741,Playoffs
2023-04-14,1610612750,1610612760,Playoffs
2024-04-16,1610612740,1610612747,Playoffs
2024-04-16,1610612758,1610612744,Playoffs
2024-04-17,1610612741,1610612737,Playoffs
2024-04-17,1610612755,1610612748,Playoffs
2024-04-19,1610612740,1610612758,Playoffs
2024-04-19,1610612748,1610612741,Playoffs
