GAME_DATE,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,SEASON_TYPE
2013-04-16,1610612738,1610612754,Regular Season
2024-10-22,1610612738,1610612752,Regular Season
2024-10-22,1610612747,1610612750,Regular Season
2024-10-23,1610612737,1610612751,Regular Season
2024-10-23,1610612740,1610612741,Regular Season
2024-10-23,1610612745,1610612766,Regular Season
2024-10-23,1610612746,1610612756,Regular Season
2024-10-23,1610612748,1610612753,Regular Season
2024-10-23,1610612755,1610612749,Regular Season
2024-10-23,1610612757,1610612744,Regular Season
2024-10-23,1610612761,1610612739,Regular Season
2024-10-23,1610612762,1610612763,Regular Season
2024-10-23,1610612765,1610612754,Regular Season
2024-10-24,1610612742,1610612759,Regular Season
2024-10-24,1610612743,1610612760,Regular Season
2024-10-24,1610612758,1610612750,Regular Season
2024-10-24,1610612764,1610612738,Regular Season
2024-10-25,1610612737,1610612766,Regular Season
2024-10-25,1610612739,1610612765,Regular Season
2024-10-25,1610612745,1610612763,Regular Season
2024-10-25,1610612747,1610612756,Regular Season
2024-10-25,1610612749,1610612741,Regular Season
2024-10-25,1610612752,1610612754,Regular Season
2024-10-25,1610612753,1610612751,Regular Season
2024-10-25,1610612757,1610612740,Regular Season
2024-10-25,1610612761,1610612755,Regular Season
2024-10-25,1610612762,1610612744,Regular Season
2024-10-26,1610612741,1610612760,Regular Season
2024-10-26,1610612743,1610612746,Regular Season
2024-10-26,1610612747,1610612758,Regular Season
2024-10-26,1610612750,1610612761,Regular Season
2024-10-26,1610612756,1610612742,Regular Season
2024-10-26,1610612759,1610612745,Regular Season
2024-10-26,1610612763,1610612753,Regular Season
2024-10-26,1610612764,1610612739,Regular Season
2024-10-26,1610612765,1610612738,Regular Season
2024-10-26,1610612766,1610612748,Regular Season
2024-10-27,1610612744,1610612746,Regular Season
2024-10-27,1610612751,1610612749,Regular Season
2024-10-27,1610612754,1610612755,Regular Season
2024-10-27,1610612757,1610612740,Regular Season
2024-10-27,1610612760,1610612737,Regular Season
2024-10-28,1610612737,1610612764,Regular Season
2024-10-28,1610612738,1610612749,Regular Season
2024-10-28,1610612742,1610612762,Regular Season
2024-10-28,1610612748,1610612765,Regular Season
2024-10-28,1610612752,1610612739,Regular Season
2024-10-28,1610612753,1610612754,Regular Season
2024-10-28,1610612756,1610612747,Regular Season
2024-10-28,1610612758,1610612757,Regular Season
2024-10-28,1610612759,1610612745,Regular Season
2024-10-28,1610612761,1610612743,Regular Season
2024-10-28,1610612763,1610612741,Regular Season
2024-10-29,1610612744,1610612740,Regular Season
2024-10-29,1610612750,1610612742,Regular Season
2024-10-29,1610612751,1610612743,Regular Season
2024-10-29,1610612762,1610612758,Regular Season
2024-10-30,1610612739,1610612747,Regular Season
2024-10-30,1610612741,1610612753,Regular Season
2024-10-30,1610612744,1610612740,Regular Season
2024-10-30,1610612746,1610612757,Regular Season
2024-10-30,1610612748,1610612752,Regular Season
2024-10-30,1610612754,1610612738,Regular Season
2024-10-30,1610612755,1610612765,Regular Season
2024-10-30,1610612760,1610612759,Regular Season
