feature,gain,weight,cover
rating_diff,44.1757698059082,626.0,2269.764892578125
DIFF_TR_RATING_ROLL5,39.765785217285156,539.0,2406.261962890625
DIFF_TR_RATING_PRE,37.425376892089844,114.0,2248.292236328125
YEAR,35.33694076538086,1044.0,2031.16357421875
DIFF_TR_RATING_ROLL10,15.092042922973633,580.0,2392.817138671875
HOME_TR_RATING_PRE,4.441885948181152,96.0,2065.66259765625
HOME_ELO_PRE,4.174026966094971,604.0,2240.63134765625
HOME_TR_RATING_ROLL10,3.877329111099243,676.0,2230.42724609375
HOME_TR_RATING_ROLL5,3.8196861743927,451.0,1982.5997314453125
AWAY_TR_RATING_PRE,3.715345859527588,111.0,1894.9110107421875
AWAY_ELO_PRE,3.6803464889526367,586.0,1950.8319091796875
AWAY_TR_RATING_ROLL5,3.6650822162628174,503.0,2026.69287109375
AWAY_TR_RATING_ROLL10,3.5741522312164307,643.0,2202.532958984375
is_playoffs,3.363673210144043,57.0,2836.064208984375
AWAY_TR_RATING_DELTA,3.2212324142456055,744.0,1834.252685546875
HOME_TR_RATING_DELTA,3.1943137645721436,815.0,2106.837158203125
DIFF_TR_RATING_DELTA,3.1416046619415283,727.0,2177.338623046875
