feature,gain,weight,cover
rating_diff,12285.5390625,1704.0,7614.01806640625
DIFF_TR_RATING_PRE,6279.0380859375,1336.0,7356.89599609375
DIFF_TR_RATING_ROLL5,2938.49853515625,583.0,5172.1953125
HOME_ELO_PRE,1853.0133056640625,744.0,6020.2568359375
HOME_TR_RATING_PRE,1466.197265625,554.0,6296.13525390625
DIFF_TR_RATING_ROLL10,1288.519287109375,448.0,3582.321533203125
AWAY_ELO_PRE,1175.4635009765625,659.0,5880.93603515625
AWAY_TR_RATING_PRE,1032.28662109375,493.0,5652.59619140625
DIFF_TR_RATING_DELTA,477.5746154785156,686.0,2986.017578125
HOME_TR_RATING_ROLL5,467.8421630859375,304.0,3645.66455078125
AWAY_TR_RATING_ROLL5,416.6277770996094,345.0,4493.57373046875
YEAR,415.83819580078125,592.0,1412.4678955078125
AWAY_TR_RATING_ROLL10,410.30999755859375,383.0,3233.712890625
is_playoffs,399.1981506347656,30.0,3065.86669921875
HOME_TR_RATING_ROLL10,389.84930419921875,406.0,2811.5
AWAY_TR_RATING_DELTA,380.6687316894531,616.0,2914.0859375
HOME_TR_RATING_DELTA,367.0655212402344,726.0,2905.5908203125
